"r" "dlk" "km"
"824949" 0.232190317106262 0.043 2140.59826959066
"52258" 0.694147885204492 0 6322.56997988928
"580940" 0.243657049062566 0.031 2244.4033633101
"482053" 0.186956529460195 0.129 1731.10953437141
"366119" 0.185355610877595 0.134 1716.61686949206
"598070" 0.146737766707998 0.284 1367.02040656403
"682169" 0.265760549826164 0.016 2444.50012819798
"405387" 0.165356142314973 0.202 1535.56731532151
"480682" 0.26556434977939 0.016 2442.72398445269
"828565" 0.0813358154818107 0.679 774.9549687096
"496034" 0.321994170687037 0.002 2953.56725437574
"549654" 0.25318293431403 0.023 2330.6385186322
"39082" 0.645967803879705 0 5886.40927809664
"304491" 0.215254422767536 0.066 1987.28238972591
"390064" 0.174578996938808 0.168 1619.05921974871
"834744" 0.252865008117769 0.024 2327.76042235119
"222102" 0.39921546176507 0 3652.62984588284
"202207" 0.415213882607235 0 3797.45904231059
"188683" 0.264174554638716 0.017 2430.14256061037
"264470" 0.0463074931581484 0.882 457.853435727184
"542217" 0.15880926609531 0.229 1476.30028944689
"676312" 0.318096402974249 0.003 2918.28186144387
"185280" 0.324176963075024 0.002 2973.3274588759
"537999" 0.0669957201047249 0.769 645.13812549424
"421647" 0.0845365536515947 0.658 803.930349572422
"631578" 0.190978237861931 0.118 1767.51692744079
"718617" 0.247263750097011 0.028 2277.05381160916
"408263" 0.450782478541732 0 4119.45152007314
"282093" 0.3569111996635 0.001 3269.66128004217
"571784" 0.451267515882722 0 4123.84242646485
"529406" 0.0582550815109607 0.82 566.011586925889
"195004" 0.38116603680045 0 3489.23348699226
"413497" 0.339004020275002 0.001 3107.55263027541
"760547" 0.298139038743402 0.006 2737.61346592626
"774781" 0.0460468521564582 0.883 455.493926172876
"765956" 0.254842062055725 0.022 2345.65813462876
"302696" 0.227465575093421 0.048 2097.82651131532
"802960" 0.155143819688184 0.244 1443.11803584009
"392838" 0.345244964020856 0.001 3164.05013565923
"678802" 0.243756667606144 0.031 2245.3051819182
"535617" 0.127178462585954 0.388 1189.95553706042
"232165" 0.258551982798536 0.02 2379.24300186615
"655479" 0.169562766398755 0.186 1573.64869796161
