	div	mean.sim.div	Lon	Lat	envir
841	3.931825633	4.453024516	-65	-12.7	12.03894753
842	3.828641396	4.439530479	-64	-12.7	10.42935296
843	3.784189634	4.42928185	-63	-12.7	10.12823421
844	3.761200116	4.431687082	-62	-12.7	10.85917707
845	3.761200116	4.439704744	-61	-12.7	11.61396066
846	3.610917913	4.427485925	-60	-12.7	12.39223946
847	3.555348061	4.427087825	-59	-12.7	13.41099863
848	3.555348061	4.43072192	-58	-12.7	12.92226373
849	3.465735903	4.413434113	-57	-12.7	12.07609069
850	3.433987204	4.407011764	-56	-12.7	10.76692383
851	3.433987204	4.411399742	-55	-12.7	12.07626345
852	3.433987204	4.417806136	-54	-12.7	14.27375653
853	3.401197382	4.412920992	-53	-12.7	14.81276426
854	3.401197382	4.413722779	-52	-12.7	14.00546197
855	3.433987204	4.420289372	-51	-12.7	14.43286747
856	3.496507561	4.416999591	-50	-12.7	13.36452649
857	3.496507561	4.41602342	-49	-12.7	13.29922363
858	3.465735903	4.415281518	-48	-12.7	13.92979358
859	3.496507561	4.412299858	-47	-12.7	12.72808274
860	3.401197382	4.404919888	-46	-12.7	12.13396492
861	3.401197382	4.391392953	-45	-12.7	15.07345743
862	3.465735903	4.393497324	-44	-12.7	15.38217756
863	3.526360525	4.399281465	-43	-12.7	15.09988954
864	3.555348061	4.374027696	-42	-12.7	17.46685909
865	3.610917913	4.326143834	-41	-12.7	21.37552897
866	3.663561646	4.284251833	-40	-12.7	23.38644244
867	3.713572067	4.301882186	-38.8	-12.9	21.79671514
868	3.465735903	4.405063787	-74	-13.7	13.86570003
869	3.761200116	4.434324123	-73	-13.7	13.96054466
870	3.912023005	4.432960469	-72	-13.7	20.98958561
871	4.077537444	4.410044539	-71	-13.7	23.55142718
872	4.077537444	4.461699422	-70	-13.7	19.29067468
873	4.094344562	4.473309825	-69	-13.7	16.95981175
874	4.007333185	4.448746719	-68	-13.7	20.04943173
875	3.970291914	4.434665088	-67	-13.7	20.04476724
876	3.931825633	4.462278787	-66	-13.7	17.88510836
877	3.871201011	4.455176193	-65	-13.7	16.37346807
878	3.828641396	4.448262249	-64	-13.7	14.18392191
879	3.761200116	4.450233107	-63	-13.7	14.01790061
880	3.784189634	4.449447068	-62	-13.7	14.78633215
881	3.713572067	4.450191319	-61	-13.7	15.56495647
882	3.688879454	4.444639182	-60	-13.7	16.08824315
883	3.583518938	4.431806321	-59	-13.7	15.30599089
884	3.526360525	4.426717231	-58	-13.7	13.53780366
885	3.465735903	4.414073787	-57	-13.7	11.16323272
886	3.433987204	4.411653739	-56	-13.7	11.34912129
887	3.433987204	4.417838306	-55	-13.7	14.70738134
888	3.36729583	4.393882692	-54	-13.7	17.72081465
889	3.36729583	4.386722134	-53	-13.7	18.63142676
890	3.401197382	4.393514682	-52	-13.7	17.96803263
891	3.401197382	4.395818336	-51	-13.7	16.74299934
892	3.433987204	4.402480243	-50	-13.7	15.34157923
893	3.465735903	4.407432189	-49	-13.7	14.63724123
894	3.465735903	4.411748992	-48	-13.7	13.76221746
895	3.433987204	4.405181793	-47	-13.7	13.4065069
896	3.36729583	4.384568968	-46	-13.7	13.69173183
897	3.36729583	4.36215328	-45	-13.7	18.16532328
898	3.526360525	4.378346774	-44	-13.7	17.10268335
899	3.526360525	4.375985414	-43	-13.7	17.40224726
900	3.610917913	4.35225588	-42	-13.7	19.17751761
901	3.63758616	4.322437063	-41	-13.7	21.05765261
902	3.663561646	4.287686442	-40	-13.7	22.46581032
903	3.401197382	4.226375688	-72	-14.7	27.0867651
904	3.583518938	4.187714182	-71	-14.7	29.02166466
905	3.850147602	4.359734816	-70	-14.7	24.53891699
906	3.988984047	4.45711279	-69	-14.7	18.38990983
907	3.988984047	4.437413126	-68	-14.7	19.67299011
908	3.988984047	4.386362856	-67	-14.7	23.56196547
909	3.931825633	4.343788513	-66	-14.7	24.73603489
910	3.891820298	4.385551817	-65	-14.7	22.81409224
911	3.871201011	4.422910184	-64	-14.7	19.690266
912	3.784189634	4.42769748	-63	-14.7	18.66183233
913	3.784189634	4.425643892	-62	-14.7	19.44080216
914	3.737669618	4.404698501	-61	-14.7	20.38976674
915	3.713572067	4.393753231	-60	-14.7	20.78676667
916	3.610917913	4.404285408	-59	-14.7	19.45807805
917	3.555348061	4.400569781	-58	-14.7	18.87173438
918	3.526360525	4.407056413	-57	-14.7	18.13526323
919	3.526360525	4.408580051	-56	-14.7	17.74759228
920	3.465735903	4.381513315	-55	-14.7	19.54307542
921	3.433987204	4.306297151	-54	-14.7	23.08998819
922	3.433987204	4.303085256	-53	-14.7	23.65732838
923	3.465735903	4.340836353	-52	-14.7	21.19033144
924	3.465735903	4.381178239	-51	-14.7	18.40010261
925	3.401197382	4.39166201	-50	-14.7	16.61291189
926	3.433987204	4.393445646	-49	-14.7	16.4099202
927	3.465735903	4.401933545	-48	-14.7	15.68260527
928	3.433987204	4.37255433	-47	-14.7	16.99505456
929	3.401197382	4.361918297	-46	-14.7	17.74569193
930	3.433987204	4.331992958	-45	-14.7	20.17468192
931	3.526360525	4.330285657	-44	-14.7	19.9944944
932	3.555348061	4.334434349	-43	-14.7	19.68197357
933	3.63758616	4.280258626	-42	-14.7	23.10640028
934	3.63758616	4.25647688	-41	-14.7	24.05674693
935	3.663561646	4.251511783	-40	-14.7	23.66613908
936	3.663561646	4.297819202	-39.1	-14.7	21.00081493
937	3.091042453	4.327648296	-70	-15.7	20.62160917
938	3.688879454	4.395728834	-69	-15.7	21.20173352
939	3.891820298	4.440637242	-68	-15.7	18.25653997
940	3.912023005	4.391878431	-67	-15.7	21.87877561
941	3.912023005	4.255523498	-66	-15.7	27.4132794
942	3.912023005	4.251657315	-65	-15.7	27.55304134
943	3.871201011	4.303973754	-64	-15.7	25.61399556
944	3.80666249	4.325121865	-63	-15.7	24.20894751
945	3.688879454	4.307308266	-62	-15.7	24.36201189
946	3.63758616	4.252050889	-61	-15.7	25.86415044
947	3.610917913	4.243486003	-60	-15.7	25.64975665
948	3.583518938	4.269412388	-59	-15.7	25.0452733
949	3.496507561	4.211735094	-58	-15.7	26.49713901
950	3.496507561	4.223527118	-57	-15.7	26.13261775
951	3.465735903	4.266222618	-56	-15.7	24.1241229
952	3.465735903	4.252323167	-55	-15.7	25.05719366
953	3.496507561	4.120451488	-54	-15.7	28.57249155
954	3.526360525	4.166015714	-53	-15.7	27.54872237
955	3.496507561	4.331066226	-52	-15.7	21.54776958
956	3.433987204	4.359818566	-51	-15.7	18.72730795
957	3.496507561	4.393704136	-50	-15.7	16.87671472
958	3.496507561	4.387600742	-49	-15.7	16.58838013
959	3.465735903	4.355586947	-48	-15.7	18.48993723
960	3.433987204	4.300826015	-47	-15.7	21.54880613
961	3.433987204	4.252089672	-46	-15.7	23.63158731
962	3.496507561	4.243729438	-45	-15.7	24.11047495
963	3.526360525	4.295792401	-44	-15.7	21.619119
964	3.610917913	4.221118608	-43	-15.7	24.97357836
965	3.63758616	4.159836525	-42	-15.7	26.86926166
966	3.63758616	4.182693094	-41	-15.7	26.06282316
967	3.663561646	4.184840045	-40	-15.7	25.61244073
968	3.663561646	4.221515405	-39.1	-15.7	23.9530916
969	2.890371758	3.834997775	-69	-16.7	31.01893019
970	3.583518938	4.182794106	-68	-16.7	27.67932809
971	3.80666249	4.267307143	-67	-16.7	26.06714213
972	3.891820298	4.167198254	-66	-16.7	29.0496516
973	3.931825633	4.107891136	-65	-16.7	30.5780495
974	3.891820298	3.962381666	-64	-16.7	32.58619883
975	3.80666249	3.908140904	-63	-16.7	32.96523184
976	3.713572067	4.055533209	-62	-16.7	30.29973493
